,User,Date,Review
91,multymind4744,1 year ago,"""Sir this is AGENT TINA""
Tamil cinema industry should really thank Lokesh Kanagaraj for successfully creating 'shared cinematic universe' concept. Agent Tina resembles MCU's Agent Ramanoff A.K.A 'BLACK WIDOW'.

வாழ்துக்கள்"
92,kingvinay3796,1 year ago,"A truly masterpiece it was, very much impressed with music and background score (anirudh ) and Rolex character was lit "
93,balaji14605,1 month ago,Cheers to those Who are watching this trailer in July 2023 and still getting addicted to this masterpiece !!!
94,balasabarishe5056,1 year ago,Really a proud movie for tamil cinema..goose bumps @core
95,Tawrat781,4 months ago,FULL Goosebumps️‍
96,bharatneela8586,1 year ago,"Vikram killing the world cinema
Best music,Best screenplay,Best cast selection,Best story telling,Best VFX,Best actors and finally the best Director
Must watch in theaters,please don't miss the movie"
97,tnwhite7775,1 year ago,2:09 Goosebumps scene in theatre
98,shankris8887,1 year ago,"Omg, 1st time in Tamil film history  for me it beats KGF, RRR, Surya awesome!!!!! Even though i only saw him like 5mins. Every character is perfect "
99,dankismmalayalam,2 months ago,1 year of #vikram
100,akileshchandran-21,1 year ago (edited),One of the best action film directed by lokesh sir.And kamal sir what an acting litrally and other actors are acted good and for especially for suriya sir that rolexcharacter I liked very much literally got goosebumps.And all actors are acted nicely.Vikram is just a vera level movie.Congrats for the whole team.
101,ttfvasanuyirettf4846,2 months ago,1year of Vikram....any one here...
102,ShivamChauhan-ze5tz,1 year ago,"Masterpiece movie!!
Why is this masterpiece not being promoted or publicized, especially in the northern part of India?
This film should be promoted all over India like Puspa, KGF and RRR."
103,loganhallum,1 year ago,What a movie? Why the hell in this world it was not promoted well ? Tamil and Malayalam cinema is seriously on high to produce best art work in last few years. Kudos to this marvellous work
104,phddhanush9772,3 months ago,1 Yrs Of A Massive Trailer ️️
105,solais1581,6 months ago,Iam addicted  to  this theme song 
106,raghavendarsubash8592,1 year ago,Goosebumps everytime I watch this masterpiece
107,olex5902,8 months ago,Best movie in 2022 
108,gaswingaswin1842,1 year ago,"யாருக்கெல்லாம் கமல் சார் உடைய நடிப்பு, பேச்சு ரொம்ப பிடிக்கும் ️"
109,infinitelearnerdetrox,11 months ago,This movie is the best movie of 2022! I loved it so much that I watched it thrice 
110,nimisha9591,1 year ago,"Superb Movie.. Great performance by Kamal sir,Fahad, Vijay Sethupathi & all.Watched a movie without seeing the trailer. Goosebumps....Thank you... Waiting for next part..."
111,AbdulMalik-pk1bj,1 month ago,"Best movie of 2022 
My most favourite of all time "
112,sharansankar,1 year ago,This trailer gives goosebumps even after watching the movie thrice!!!!
113,nimishkumarsaini3292,5 months ago,Just waiting for LEO ️ love to Lokesh sir and big fan of THALAPATHY ️
114,A7dr,1 year ago,"Goosebumps is at next level 
Saw it over 100 times 
Can't wait to see it in theatres"
115,kiranl2526,1 year ago,"Again Kamal sir come back movie..... Success is not a new for Legends but, for fans it's a festival......
Age is just a number for him...!!"
116,bharatchand6671,1 year ago,"What a masterpiece   ️ 
Loved the action   "
117,asifalberto4626,7 months ago (edited),"Trailer na ipdi irukkanum 
Disappointed with Varisu Trailer and straight back here to witness this masterpiece of trailer cut and bgm "
118,siyaverma464,3 weeks ago,Literally its masterpiece 
119,mohammadridzuan3139,1 year ago (edited),"1:45 ""The eagle is comin "" "" you better start runnin"" "" His blood is rushin"" "" stunnin and gunnin"" OMG ! That line is a GOOSEBUMPS  eagerly waiting for the movie"
120,byron-ih2ge,1 year ago,Without much promotion it became the third highest grossing film of India 2022!! Only if it had been marketed like prithviraj it would have crossed 1000 crore at the box office!!
121,anuraggupta8366,11 months ago,Masterpiece ️
122,dhanushn113,11 months ago,I have seen this trailer more than 1000 times ️ goosebumps
123,rupankanborah8329,7 months ago,I am from delhi but I love tamil cinema ( kollywood ) vikram what a film 
124,UmangAgarwalHrithikians,1 year ago,What a amazing trailer  Congratulations to team Vikram and All the best to entire team 
125,djkarthik2408,1 year ago,"Man this is a mad action movie no way compared to KGF, wat a great feeling watching this movie"
126,mohammedrayan7200,6 months ago,Verithanam ah waiting for #Thalapathi 67
127,sreeharipv4540,2 months ago (edited),"1 year of roaring success . A big fan of your work, from kerala"
128,PREPEXACADEMY,1 year ago,Outstanding movie... Khatrnak storyline... Acting fabulous️️️️️️all actors play there role mind-blowing.
129,vipinvictor2409,3 months ago,1 Year of Vikram trailer LOKIVERSE
130,Fazil_SK,1 year ago,2:10 GOOSEBUMPS 
