,Users,Date,Review_content
133,trueman7249,1 year ago,This song has best music and Kamal hasan's dance and act is on next level 
134,kalakaarnair1994,1 year ago,"Awesome track
Your hands and legs automatically start dancing "
135,clintonmark5232,10 months ago,He is the only freakin hero ... Nobody can replace him ... Hats off to you my hero Kamal Haasan
136,akashtripathy1334,1 year ago,Anirudh Musics are always above everything 
137,sabmuthusamy527,7 months ago,Ridiculous dancing at his age. Icon. Legend. Greatest of all time.
138,JustRockMultiTech,1 year ago,"This year , there are so many masterpieces from south industry... But for me, if i look deeply this movie ""vikram"" is the real best film from half 2022 . ️"
139,roshmilanmathew,1 year ago,Percussionsuff no words…!!
140,1986ganny,1 year ago (edited),Age is just a number for him guys but we need to celebrate him more coz he is the only one who deserves it
141,mr.karthikeya,3 months ago,Imagine him as your grandfather ️
142,banubhuvana3172,1 year ago (edited),"It's been 2 weeks but still trending#1 24 Million views for ulaganayagan's dance. Kamal, ani nd sandy rocks "
143,bhaskarbhaskar3494,1 month ago,What a song hats off sir
144,cricheroherocric,1 year ago,"I am from Andhra and my HEART is in TAMIL NADU, pure bliss to watch him. One of the all time legends"
145,romanreignsfanclub8872,1 year ago,Legend in tamil industry 
146,GaneshKumar-ug2br,1 year ago,What an energy in that age
147,kaliyaperumalr9386,10 months ago,Nice song
148,SUPERMAN-uw9tz,5 months ago,Awesome...... good dance performance
149,Itsourgroup,10 months ago,The first Sean of the Vikram movie start with that blast song 
150,aravindvenkat,1 year ago,அரசியலில் இவருக்கு தொண்டர்கள் இல்லாமல் இருக்கலாம்...ஆனால் நடிப்பில் இவருக்கு கோடான கோடி ரசிகர்கள் இருப்பதே நிதர்சனம்...️ #Kamalhassan
151,user-wo2vy3bm8j,1 year ago,"I dont know why, but anyone whoever comes under lokesh's direction it will become a vibe..."
152,khan-nj7op,11 months ago,Pure mass 
153,abiudhaya5677,9 months ago,My favourite song
154,mdsabbirahmed6392,1 year ago,What a  song man
155,rbworld2236,4 months ago (edited),1:40 BGM outstanding
156,atheeqfaizal4104,1 year ago,"1st time - not bad ️
2nd time - good song 
3rd time - wow song 
4th time - vera level song 
5th time - addicted "
157,vksportstamil7174,1 year ago,One of the all time favorite song of history
158,weirdoandmusical4103,1 year ago,"At age 67, he can sing and dance so well "
159,Subscribe_this-Channell,10 months ago (edited),"My Eyes - Reading Comments
My Ears - Listening the Song
My Hand - Scrolling Down 
My Mouth - Singing Song
My Legs - Dancing in Vibration
Is this Reaction to all Kamal sir fans?"
160,sumathilakshmanan9580,1 year ago,That janaki voice ultimate 
161,JagdishKumar-pk6se,4 months ago,Best song
162,iam_aayush,1 year ago,"My eyes = Reading Comments
My Ears = listening The song
My hand = Scrolling Down
My Mouth = Singing Song 
I am A busy Man  Kamal Hassan Fans ️."
163,jobincgeorge,1 year ago,"really really wonderfulll


I dont know how many times i watched this song"
164,Mrvazhaofficial,1 year ago,This song is very beautiful.
165,avadhootsabnis8083,9 months ago,This film was masterpiece by Loki and music also was vera level 
166,srikantholety8514,1 year ago,"Watched 1st time for Kamal. 
Watched 2nd time for BGM nd songs. 
Watched 3rd time in Telugu to understand the dialogues. 
Waiting for 4th time 
Frankly this is greater than RRR nd KGF 2"
167,MrThaman,1 year ago,Vera level wait is over ️ Aandavar aatam
168,melodiousnostalgico1234,11 months ago,"1st Let me Congrats Universal Hero Kamalhaasan for this Lovely Lyrics Writing, Victorious Voice, Dynamic Dance Performance at the age of 68 with Ambitious Anirudh for his Tremendous Music Treat. Can't stop it watching the Song again n again. Hattsoff to the Cinemotograher for the Scene Picturised."
169,JAY-oo3rh,1 year ago,In age 68 how much energy sir  Love from tollywood ️️
170,mujmilmuhammedbuhari6686,11 months ago,I am addicted to this song
171,JagdishKumar-pk6se,2 months ago, very good song
172,ashokshelby,1 year ago,"எதிர்பார்த்த எங்களுக்கு ஏமாற்றம் மட்டுமே கிடைத்தது 

We need full video song ️️"
173,koushalrayi,1 year ago,"Best part is the headphone experience…. Starts in left ear and goes to right ear.
  Such a fun song… dance is for all ages."
174,reshmamalik9521,11 months ago,"Love his charm, innocence, quirkness, intelligence, sharpness, human connect, attitude, humour... love him so totally !"
175,g.mosesgnanasekar47,3 weeks ago,After enjoying this Song I couldn't enjoy any Mass Hero' Song... Mr Kamal is the One and Only Class+Mass Hero in the World Cinema... God Bless!
176,kamatchirithieesh2659,1 year ago,Super fantastic  steps and lyrics mass
177,srebalanandasivam9563,1 year ago,"At the age of 70, his dance moves are unbelievable...he's done it with ease and charm"
178,dharmarajg920,1 year ago,I am watching 50 times this song for. Kamal sir performance
179,RajnishGamingFF,11 months ago (edited),Didn't understood a single word but still enjoying this song 
180,gajendrang1788,6 months ago,Super music ️
181,mr1987100,11 months ago,Whenever he comes on screen he just define...Age is just a number...long live Vishwanayakan...
182,bloggernatzm9295,11 months ago,Always in heart. Aandavar LK Aniruth combo awesome
183,saratmohan7327,1 year ago,ഈ പ്രായത്തിലും അദ്ദേഹത്തിന്റെ എനർജി എൻ്റെ മോനെ .
184,solimansagar995,1 year ago,My first movie watching Kamal Hassan's Vikram and I have been already a fan of Kamal Hassan. Just dhamaka ️ Vikram. Thanks & best wishes to Kamal Hassan sir from Dhaka.
185,captainamerica7108,1 year ago,Goosebumps.... aandavar da
186,TuBe-kt5mo,7 months ago,More of this Felix! Loved it!
187,arunbalakrishnan8605,1 year ago,"ഈ പ്രായത്തിലും കമലഹാസൻ അടിപൊളിEast or west , South is the best (Kamalhasan is always superb!!!)   Lots & lots of love from Kerala ️"
188,pallavilakkoju9409,11 months ago,Awesome
189,technoyoung,1 year ago,Kamal sir is ageing like a grape wine.His experience is a university for budding film makers.True legend in Indian film industry....
190,ibrahimshiblu3920,1 year ago (edited),I will dance to this song with my friends in my marriage ️
191,allmovieworlds1772,1 year ago,"Love this movie and this song 
Love from Bangladesh 🇧🇩"
192,avinashjadhav3029,5 months ago,️ superhit
193,shivams.7205,5 months ago,Age Is Just A Number. 
194,TechShanTamil,1 year ago (edited),Vera Level ... Vera Level ️️️️️️️️️️️️Andavar swag on repeat...
195,siddheshsonawane3604,1 year ago,Nice drum sound️ and kamal haasan is a legendary actor
196,vaishnevint,6 months ago,My favourite song
197,Sam-yv3qs,11 months ago,Super song
198,rithee,1 year ago,Nice song ️
199,nadesanthiru1072,6 months ago,My favourite song
200,ramasamysri3654,1 year ago,Super song 
201,AVINASHKUMAR-ie2fp,2 months ago,Living legend
202,MrMelvinanto,1 year ago,01:45 You could just imagine the fun that they would have had seeing Kamal Hassan doing all these
203,thomasm1447,11 months ago,Super song
204,ethanhunt6725,1 year ago,"Such an energetic performance 
Lokesh Anna... We need the sequel as soon as possible...
With love, from Kerala "
205,nomad98,1 year ago,This man is so Energetic
206,nachikethcr4891,1 year ago,Incredible steps by kamal sir
207,rishijsph,10 months ago,"Excellent song    

Kamal sir super dance in this age"
208,omprakashmeena172,1 year ago,I don't know tamil language but i really enjoyed this song.
209,robintanti5956,5 months ago,Omg what a performance kamal sir
210,manikandanmani233,1 year ago,எவ்வளவு ஆனந்தமாக உள்ளது நீண்ட காலத்துக்கு பிறகு ஆண்டவரின் நடனம்.... ️️️️️️️
211,dr.rakeshsahu1792,1 year ago,Superr...wat an amazing energy n vibe at such age...lov to see him in hardcore action movie
212,niranjanharikumar7135,1 year ago,"No words saying about the song and movie+dance 
Kamal sir Big fan of you"
213,anandhan7280,6 months ago,My nine months baby addicted to this song
214,swagatbanerjee2374,1 year ago,This song rings in west Bengal in a repeated loop 
215,jithua,7 months ago,My one year bby boy watching this song more than 20 times per day 
216,masterclass1070,1 year ago,"This man have 67 years old, he dance very well . Andavaar Energy is another level"
217,umeshpatel6474,1 year ago,Song vera level 
218,nishanthreddy4282,1 year ago,This movie is a biggest blockbuster  eagerly waiting for kaithi part 2
219,darshansontakke9018,5 months ago,Awesome 
220,shoxx3088,1 year ago,"So much energy and what acting

That's why Kamal sir is God "
221,vijayalakshmiduraisamyr2958,7 months ago,Vera level song
222,SivamArogyamSamayal,1 year ago,பாடல் மற்றும் நடனம் மிக அருமை 
223,pallavivijaykumar,11 months ago,Excellent song!
224,BADRINATHFILMS,1 year ago,Kamal sir is truly  legend
225,vinusha6thnithinkarthik3rd56,9 months ago,Super  song and  super dancer
226,adx._mp4,1 year ago,I hear this song 1000 times still goosebumps is increasing 
227,jaibarath3255,2 months ago,Best dancer ever  kamal hassan sir
228,madhavkvinod9787,1 year ago,"Screen presence , Dance , 
Swag, charisma and
Lyrics of Aandavar 
Loki's direction and making
Ani's powerful music and beat 
I love this movie and the song"
229,tharukahansana3732,1 year ago (edited),Mr.kamal Haasan (god of world cinema)️
230,romanreignsfanclub8872,1 year ago,Very energetic and dynamic dance sir Kamal Hassan 
231,mushfiqurrahman9079,1 month ago,"And here I am, understanding nothing but enjoying the starting music and listening in loop. 0 - 24 sec "
232,harshidaworld14,1 year ago,super songs 
233,sashu9029,4 months ago,"Kamal, Kamal, Kamal, all the way "
234,karthiraja3701,1 year ago,100 time  கேட்டால் சலிக்காமல் இந்த பாடல் கேட்க வேண்டும் என்று மனசு பரிதவிக்கின்றது லவ் யூ கமல் ஹாசன் சார் 
235,ameeshak.j9971,1 year ago,My fav
236,sharadwatmondal1586,1 year ago,This song is still on YT global music chart
237,hariharank488,5 months ago,Super
238,rajasekardhandapani2466,11 months ago,Vera level energy 
239,susheelabpillai7472,10 months ago,"1st time - Good
2nd time - Superb
3rd time - Marvellous 
4th time - Spectacular
5th time - Stupendous"
240,harikrishnanr2730,1 year ago,"What a blissful performance by Ulaganayakan. What a grace, can't take eyes off him. Touch wood. Beautiful choreo by Sandy and once again Anirudh bang on."
241,Arjun-vp5zi,1 year ago,Marana mass.....
242,rnl2774,1 year ago,I'm addicted to this song
243,SurajSingh-wy3ht,3 months ago (edited),I don't understand the lyrics but I enjoy this song very much when ever I listen 
244,sofiemran7638,1 year ago,One word for kamal hassan:legend 
245,sobarbondhu5087,4 months ago,Pathala pathala love from West Bengal 
246,dearthofmirth,1 year ago,Loved it when this played in the theatre!!To dance like this at age 67!! Mind-blowing stuff!! Paththale paththale!! Repeat!!
247,puneetkashyap743,1 year ago,This song + Kamal Hasan sir  goosebumps ️
248,mekhavinod1684,1 year ago,Can't take eyes from Kamal sir...what a grace
249,gokulkumar9755,2 months ago,I like it very much this song for Kamal sir and sandy master choreographer.
